total_herd,lactating,dry,heifers,calves,avg_lactating_yield_lpd,annual_milk_l,milk_price_npr_l,milk_revenue_npr,other_income_npr,workers,annual_opex_npr,operating_surplus_npr,operating_margin_pct
20,12,2,3,3,14,61320,65,3985800,318864,2,3364448,940216,21.8
40,24,4,6,6,14,122640,65,7971600,637728,3,6098896,2510432,29.2
60,36,6,9,9,14,183960,65,11957400,956592,4,8833344,4080648,31.6
100,60,10,15,15,14,306600,65,19929000,1594320,6,14302240,7221080,33.6
150,90,15,22,23,14,459900,65,29893500,2391480,9,21287760,10997220,34.1
