year,adult_breeding_females_avg,lactating_cows_avg,saleable_milk_l_day,saleable_milk_l_year,feed_cost_npr_year,nonfeed_cash_cost_npr_year,cash_opex_npr_year,cash_cost_npr_per_litre,revenue_at_65_npr,revenue_at_72_5_npr,revenue_at_77_5_npr,cash_surplus_at_65_npr,cash_surplus_at_72_5_npr,cash_surplus_at_77_5_npr
1,27,20.8,373.1,136173,5015237,2425000,7440237,54.64,8851245,9872543,10553385,1411008,2432306,3113148
2,30,23.1,414.5,151303,5905974,2470000,8375974,55.36,9834695,10969468,11725983,1458721,2593494,3350009
3,36,27.7,497.4,181564,7231015,2950000,10181015,56.07,11801660,13163390,14071210,1620645,2982375,3890195
4,43,33.1,594.2,216868,8644797,3160000,11804797,54.43,14096420,15722930,16807270,2291623,3918133,5002473
5,50,38.5,690.9,252172,9812021,3670000,13482021,53.46,16391180,18282470,19543330,2909159,4800449,6061309
